Seq;Power W;BatBMS V;BatCHG V;GRID V;GRID A;BatPers %;BatCur A;CHG AH;DIS AH;Pv AH;Site AH
8002; 2680;53.68;53.38;233.30;0.00;   76;-0.54;  0.76;14.39;41.02;2339.72
8012; 2681;53.68;53.38;233.30;0.00;   76;-0.53;  0.76;14.39;41.02;2339.72
8022; 2681;55.20;53.39;233.40;0.00;   76;-0.56;  0.76;14.39;41.02;2339.72
8032; 2688;55.20;53.39;233.40;0.00;   76;-0.54;  0.76;14.39;41.02;2339.72
8042; 2687;53.69;53.39;234.10;0.00;   76;-0.55;  0.77;14.39;41.04;2384.74
8052; 2691;55.20;53.38;233.60;0.00;   76;-0.54;  0.77;14.39;41.04;2384.74
8062; 2690;53.68;53.38;234.00;0.00;   76;-0.53;  0.77;14.39;41.04;2384.74
8072; 2759;55.20;53.39;234.10;0.00;   76;-0.54;  0.77;14.39;41.04;2384.74
8082; 2688;53.68;53.38;233.60;0.00;   76;-0.53;  0.77;14.39;41.04;2384.74
8092; 2686;53.68;53.38;232.20;0.00;   76;-0.53;  0.77;14.39;41.04;2384.74
8102; 590;53.68;53.38;235.60;0.00;   76;-0.54;  0.78;14.39;41.07;2429.69
8112; 591;55.20;53.38;235.70;0.00;   76;-0.53;  0.78;14.39;41.07;2429.69
8122; 593;53.68;53.38;235.70;0.00;   76;-0.55;  0.78;14.39;41.07;2429.69
8132; 590;55.20;53.38;235.70;0.00;   76;-0.54;  0.78;14.39;41.07;2429.69
8142; 592;55.20;53.38;235.90;0.00;   76;-0.53;  0.78;14.39;41.07;2429.69
8152; 590;55.20;53.38;235.70;0.00;   76;-0.53;  0.78;14.39;41.07;2429.69
8162; 590;53.69;53.38;235.70;0.00;   76;-0.55;  0.79;14.39;41.10;2443.25
8172; 590;55.20;53.38;235.60;0.00;   76;-0.54;  0.79;14.39;41.10;2443.25
8182; 591;53.68;53.38;235.70;0.00;   76;-0.54;  0.79;14.39;41.10;2443.25
8192; 591;55.20;53.39;235.10;0.00;   76;-0.56;  0.79;14.39;41.10;2443.25
8202; 591;55.20;53.39;235.90;0.00;   76;-0.56;  0.79;14.39;41.10;2443.25
8212; 590;55.20;53.39;235.90;0.00;   76;-0.55;  0.79;14.39;41.10;2443.25
8222; 592;55.20;53.38;236.00;0.00;   76;-0.55;  0.80;14.39;41.13;2453.10
8232; 590;55.20;53.38;235.30;0.00;   76;-0.54;  0.80;14.39;41.13;2453.10
8242; 591;55.20;53.39;235.50;0.00;   76;-0.53;  0.80;14.39;41.13;2453.10
8252; 596;53.69;53.39;234.80;0.00;   76;-0.55;  0.80;14.39;41.13;2453.10
8262; 591;53.68;53.38;235.50;0.00;   76;-0.53;  0.80;14.39;41.13;2453.10
